id,title,description,status,priority,created_date,resolved_date,resolution
109,Stage C terminal sufficiency-emit prompt has no allocated-tar-id anchor; LLM hallucinates citations when no candidate-prior bundle is present,"scripts/run_term_eda.py terminal turn used a base task referencing TAR-XXXXX placeholders (term_eda_prompt.md lines 43, 105, 108, 143, 170, 193) but never showed the LLM the actual tar_ids allocated for the run. With no anchor and an empty candidate-prior-TARs bundle (BG029's case via KI-110), the LLM filled the placeholder pattern with plausible numbers — TAR-00001..00010 for BG029 (April 29), TAR-00234..00247 for BG027 (April 28). Two same-class hallucinations across two terms 1 day apart, both with scope=mseg+mkpf — structural failure mode (missing prompt anchor), not stochastic. Writer-side validator quarantined both (per KI-102 hardening, commit 5ffa69f) but no retry/re-prompt existed.",closed,medium,2026-04-29,2026-04-29,"Resolved structurally via phase-restructure (this commit): the LLM no longer emits lens_consideration[lens].tar_ids; runner constructs them server-side from this run's allocated query rows unioned with the framework_floor cite_tar_ids the LLM picks from the bundle. Eliminates the hallucination class — LLM cannot emit ids it doesn't generate. Initial mitigation (commit ec0a573): inject allocated-id anchor section + retry loop (MAX_TERMINAL_RETRIES=1) mirroring F.4 pattern; this commit removes both as dead code. Validator (validate_sufficiency_tar_ids in _tar_writer) preserved as defense-in-depth (sanity-checks runner construction; should always pass post-refactor). KI-108 quarantine UI branch stays in place — covers the case where validator catches a runner construction bug. peek_next_tar_ids helper kept (now used to predict ids for runner construction, not for prompt anchoring). Tests: tests/test_runner_sufficiency_construction.py (8 new) + tests/test_tar_writer_validation.py (1 extension); tests/test_run_term_eda_retry.py removed."
110,BG027 missing s2t_mapping rows post-7ccaaa5 revert; breaks candidate-prior-TARs loader join for sibling terms,"During the C6 demo prep state revert (commit 7ccaaa5), 5 partial s2t_mapping rows for BG027 were removed under the assumption they were artifacts of a wrong-Stage-E run. Investigation during KI-109 implementation (2026-04-29) surfaced that BG027 currently has status='scope_confirmed' but ZERO rows in s2t_mapping. This breaks scripts/_tar_corpus_loader.py:94's JOIN (s2t_mapping ON business_term_id = tar.term_id), so other terms in BG027's domain see EMPTY candidate-prior bundles. Empirical verification: BG029's load_candidate_prior_tars() returned 0 rows despite BG027 having 19 eligible query TARs in the same scope (mseg+mkpf). Fix question: were the removed rows truly wrong-run artifacts (target_model/column NULL = wrong-run state), OR were they legitimate Stage A source-side rows that the wrong run later populated target_model/column over (which the revert incorrectly identified as wrong-run-created)? Determining the fix shape requires verification against confirm_scope's write behavior + git history of s2t_mapping.csv around BG027's original confirm. Conditional priority: if KI-109's prompt anchoring fully solves the hallucination class empirically (per validation post-this-commit), KI-110 stays open for fresh-session cleanup. If anchoring is insufficient AND BG029 needs BG027's prior TARs in its bundle for demo narrative, KI-110 fix happens before demo.",resolved,medium,2026-04-29,2026-05-04,"Closed by 2026-05-04 surgical restore of 5 BG027 Stage A scope rows (BG027-01..BG027-05) that commit 7ccaaa5 wrongly deleted. Investigation confirmed deleted rows carried notes='stage_a_derived' (the authoritative Stage A tag from scripts/_scope_derivation.py:1396), proving they were legitimate Stage A scope artifacts, not wrong-Stage-E remnants. Wrong-Stage-E rows would have had target_model='fact_active_deployed_cpe' populated; these did not. Empirical proof of fix: load_candidate_prior_tars(conn,'BG029') went from 0 to 19 candidates from BG027, matching the bug description's predicted '19 eligible query TARs in the same scope (mseg+mkpf)'. Demo silent-degradation closed."
111,Per-query grounded_in_tar_ids is LLM-emitted free-form citation list; sibling failure mode to KI-109 not addressed by phase-restructure,"scripts/run_term_eda.py reads `q.get('grounded_in_tar_ids')` from each LLM-emitted query proposal (Turn 1 framework_floor + Turn 2 reflection + Turn 3+ sufficiency loop) and persists it on each query row's grounded_in_tar_ids column. Same fix-class as KI-109's terminal lens_consideration.tar_ids: LLM emits structured ids; cannot validate against this-run allocations because grounded_in_tar_ids cites PRIOR-run TARs (cross-term knowledge reuse), not this run's queries. Cited ids should belong to bundle.candidate_prior_tar_ids; no validator enforces this today. KI-109's phase-restructure (this commit) intentionally scoped only the terminal lens_consideration.tar_ids field (single structured emission point with the loudest blast radius); per-query grounded_in_tar_ids was deferred as out-of-scope for the first refactor. Surface area is narrower than KI-109 (only fires when LLM cites prior TARs in a NEW query proposal — rare in BG029's empirically-empty-bundle case). Future fix: validator that checks q['grounded_in_tar_ids'] ⊆ bundle.candidate_prior_tar_ids during query persistence; runner-side construction not feasible (LLM is making a discretionary 'this prior TAR motivated this query' decision the runner cannot reproduce).",resolved,low,2026-04-29,2026-05-04,"Closed by 2026-05-04 fix: validate-and-strip pattern at the boundary between LLM emission and TAR persistence. Added pure validator validate_query_grounded_in_tar_ids in scripts/_tar_writer.py mirroring validate_sufficiency_tar_ids (KI-109's defense-in-depth). Wired into scripts/run_term_eda.py just before write_tar_run: validates every query row's grounded_in_tar_ids against the bundle's candidate_prior_tar_ids; on violation, logs the unresolved-id breakdown to stderr and strips the bad ids before persistence. Strip rather than raise — analysis itself already happened, only the advisory citations are bad. Empirical state at fix time: 0 of 73 query TARs in production data have non-empty grounded_in_tar_ids (BG029's pre-KI-110 empty bundle gave the LLM nothing to cite). After my prior KI-110 fix the bundle is non-empty (19 BG027 candidates for BG029), so the validator becomes load-bearing for future runs. Tests: 6 new validator tests in tests/test_tar_writer_validation.py (+12 prior); 41 total tests across tar_writer_validation/tar_writer/tar_corpus_loader pass. Same fix-class as KI-109 but per-query — runner-side construction not feasible here (LLM is making a discretionary 'this prior TAR motivated this query' choice the runner cannot reproduce)."
112,Stage C LLM emits SQL referencing columns from non-joined tables; column-table hallucination class wastes Stage 3 iterations,"During BG029 phase-restructure validation (commit 7331c7f) the LLM emitted 9 queries against stg_sap__mseg referencing ""BUDAT"" directly — but BUDAT is a posting-date column that lives on the document HEADER table (mkpf), not the LINE table (mseg, only column resembling a date is load_date). All 9 queries failed with DuckDB BinderException 'Referenced column ""BUDAT"" not found in FROM clause! Candidate bindings: ""BWART""'. Catalog visibility was clean per Step 0: _load_catalog_for_scope correctly emits 'mkpf.BUDAT [DATE/8] Posting Date' per row in the bundle. The LLM had the catalog and disregarded it. Same fix-class philosophy as KI-102 (LLM emits structural state without grounding in actual schema). Failure mode: LLM emits SQL referencing column from non-joined table -> binder error -> no evidence -> Stage 3 budget exhaustion -> declared_sufficient=False -> term stays in term_eda_pending -> Stage E button gated. Empirically observed for BG029 (status: term_eda_pending after run TARRUN-20260429123641-BG029, 4 sufficiency-loop iterations consumed on this single error pattern).",closed,medium,2026-04-29,2026-04-29,"Prompt directive in scripts/prompts/term_eda_prompt.md SQL constraints section (extends existing 5 bullets to 9): (1) explicit 'every column referenced (in SELECT/WHERE/GROUP BY/ORDER BY/JOIN ON/HAVING) MUST belong to a table named in your FROM or JOIN clause'; (2) concrete header-vs-line domain pattern naming BUDAT/BLDAT/CPUDT on document headers (mkpf/bkpf/ekbe/rbkp) vs item tables (mseg/bseg/ekpo/rseg) with mkpf.MBLNR=mseg.MBLNR JOIN example; (3) catalog as authoritative ('the table prefix is authoritative'); (4) reference to the new error_message field per KI-113 — 'course-correct based on the error rather than retrying the same pattern'. Belt-and-suspenders with KI-113's negative-feedback loop: directive prevents the wrong emission upstream of execution; KI-113 catches residual cases by surfacing binder errors to the LLM in the next-turn bundle. Tests: tests/test_run_term_eda_render.py:test_prompt_directive_names_column_table_locality verifies the directive, the BUDAT/mkpf/mseg/MBLNR pattern, and the error_message reference are all present in the SQL constraints section."
114,Domain Analysis per-table blocker panel doesn't filter blockers resolved by Stage C; Stage A filing + Stage C resolution live on separate tables with no read-path reconciliation,"During BG029 manual UI walk (post commit dbf01a0) the Domain Analysis MSEG view rendered ""Concern 1: BWART movement type filter unclear"" as still pending despite TAR-00065's sufficiency_json.blockers_resolution recording status='not_applicable' citing DAR-00534 as the resolving evidence. Investigation surfaced 3 persistent blocker representations: (A) Stage A files in business_glossary.scope_derivation_history_json.iterations[].llm_response.blockers[] — no resolved flag, no status field; (B) Stage B can claim domain_analysis_results.result_json.blockers_addressed but in practice this is empty (DAR-00534 has []); (C) Stage C closes in term_analysis_results.sufficiency_json.blockers_resolution[]. The UI's _stage_a_blocker_loader.load_blockers_for_table reads only representation A. No code reconciles the three. Architectural gap, not staleness — parquet was current, the read-path simply didn't consult Stage C's resolution.",closed,medium,2026-04-29,2026-04-29,"Introduced unified knowledge_blocker_state view (dbt/models/knowledge/knowledge_blocker_state.sql) joining all three representations: cross-joins UNNEST'ed Stage A blockers with the latest-success Stage C sufficiency's blockers_resolution per term, computes current_status (PENDING/RESOLVED/AMBIGUOUS). RESOLVED if resolution_status in {resolved, not_applicable}; PENDING otherwise (including no Stage C TAR yet, escalated_to_analyst, could_not_resolve); AMBIGUOUS for unexpected values (defensive). Loader gains `filter_resolved: bool = False` keyword-only parameter — when True, queries the view for RESOLVED (term_id, short_title) tuples and excludes them from the candidates. Production caller in app/pages/Data_Analysis.py:1816 (Domain Analysis MSEG/per-table panel) passes filter_resolved=True; default False preserves the legacy unfiltered behavior for the iteration prompt's blockers section + existing tests. Defensive against view absence: empty resolved set → legacy fallback. Tests: tests/test_blocker_state_view.py (8 new — pending/resolved/not_applicable/could_not_resolve/no-resolution-record/archived-excluded/ambiguous/latest-wins) + tests/test_stage_a_blocker_loader.py (3 new — filter_resolved excludes resolved, keeps unresolved, falls back when view absent). Path deviation from brief (knowledge/ instead of derived/) — knowledge layer convention covers the existing dbt schema config; new directory would have required dbt_project.yml change outside Step 7's staging directive."
115,Stage B analyzers disregard blockers_addressed directive in prompt; representation B always empty in practice,"Per investigation surfaced during KI-114 fix: Stage B analyzer prompts (rendered via _stage_a_blocker_loader.render_analyst_concerns_block) explicitly inject 'Concern N' blocker context with instruction for analyzers to populate blockers_addressed in their JSON output. Empirically, analyzers disregard this — DAR-00534 (the analyzer Stage C cited as resolving BG029's BWART blocker) has blockers_addressed=[]. This makes Stage B's representation non-load-bearing for blocker resolution; Stage C ends up doing all resolution work via blockers_resolution. KI-114's unified view treats the empty array as expected (resolution comes from Stage C), but the directive disregard is a separate issue. Same fix-class as KI-102/KI-112: LLM disregards directive without consequence. Investigation needed: (a) Should we strengthen the prompt directive at Stage B to make analyzers actually populate? (b) Or accept representation B as defunct and remove the prompt section + simplify the lifecycle to A→C only? Filed during KI-114 implementation; deferred for fresh-session design discussion.",resolved,medium,2026-04-29,2026-05-04,"Closed by 2026-05-04 fix at scripts/_stage_a_blocker_loader.py:266 — render_analyst_concerns_block. Removed the dead `blockers_addressed` directive from the rendered Stage B analyst-concerns block (the opening 'Address each one via the blockers_addressed field' instruction and the closing paragraph). Concern context (term attribution + 6 augmentation fields per blocker) retained for analyst awareness. The field stays in DAR result_json schema for backward compatibility but is intentionally always-empty going forward. The downstream knowledge_blocker_state view (KI-114) already consumes only Stage A blockers + Stage C blockers_resolution, never representation B — its docstring updated to reflect that representation B is now intentionally absent (was: 'empirically empty'). Test test_12_render_non_empty_shape rewritten to assert (negatively) that the dead directive does not reappear. All 28 tests in tests/test_stage_a_blocker_loader.py pass. Audit follow-up tracked as KI-119: regression scenario_23_stage_b_blocker_injection in scripts/regression_piece8.py (~384 LOC) tests this dead path and would fail if invoked; out of scope for this fix's bounded change."
116,grain_relationship skip rationale opaque to analysts; many SAP pairs legitimately skip but UI doesn't explain why,"Per investigation: scripts/run_grain_relationship_analysis.py:322-331 skips pairs that don't share numeric columns. SAP MM topology has many such pairs (header-line, dimension-fact) where grain_relationship doesn't apply by analyzer design. Currently UI shows 'Skipped (see collapsible)' with skip_reason in the expander, but analysts may not know this is expected behavior for header-line topology vs an analysis gap. Cosmetic enhancement: tooltip or inline help explaining grain_relationship is for measure-comparison; header-line pairs handled by join_cardinality + bridge_coverage_by_filter instead. Filed during KI-114 implementation; cosmetic; deferred.",resolved,low,2026-04-29,2026-05-04,"Closed by 2026-05-04 cosmetic enhancement at app/_dar_render.py _render_skipped_dar. When a skipped DAR has analysis_type='grain_relationship', a contextual st.caption now renders below the skip-reason banner explaining: 'grain_relationship compares measures between tables that share numeric columns. Header-line and dimension-fact pairs (typical for SAP MM topology) are covered by join_cardinality and bridge_coverage_by_filter instead — this skip is expected behavior, not a coverage gap.' Hint is analyzer-scoped (does not appear for other analyzers' skips). 2 new unit tests verify both render and non-render paths in tests/test_dar_render.py (16 total tests pass). VISUAL VERIFICATION NOTE: I cannot drive a browser; per CLAUDE.md 'if you can't test the UI, say so explicitly' — the analyst-facing rendering should be eyeballed in Streamlit on a term whose Domain Analysis tab shows a skipped grain_relationship DAR (e.g. any header-line MSEG/MKPF or EQUI/SERI pair)."
113,Stage C runner captures DuckDB error string but build_query_row drops it; LLM never sees why queries failed,"scripts/run_term_eda.py:_execute_query catches binder errors at conn.execute and returns dict with status='error' + error key carrying the full DuckDB error string (e.g., 'BinderException: Referenced column ""BUDAT"" not found'). But scripts/_tar_writer.py:build_query_row had no error_message parameter — the captured error was dropped at row construction. Persisted query row had status='error' + empty query_result_json + no error reason. Bundle assembly via _render_query_results showed 'status=error, result_rows=0' but no error message. LLM's next-turn context had no signal explaining the failure → LLM blindly retried variants of the same wrong SQL pattern. Empirically: BG029 phase-restructure validation run consumed 4 sufficiency-loop iterations + 10 stage-3 queries on the same column-table mismatch (KI-112) without ever course-correcting because the negative feedback was invisible. Stage B has had error_message in domain_analysis_results for some time (schema.yml:361); Stage C was the only stage missing this convention.",closed,medium,2026-04-29,2026-04-29,"Mirrored Stage B's existing convention. Added error_message column to term_analysis_results (schema.yml + TAR_FIELDS, 20→21 columns); existing 64 historical rows backfilled with empty error_message (DuckDB reads as NULL). build_query_row + build_sufficiency_row accept error_message parameter (default empty); sufficiency rows always empty per OQ-1 (schema symmetry). Three call sites in run_term_eda.py thread exec_result.get('error', '') through to build_query_row. _render_query_results emits 'error_message: <text>' line (truncated to 600 chars to bound bundle bloat) when status='error' AND error_message non-empty; omits the line for successful rows or rows without an error string (defensive against historical pre-fix rows). Combined with KI-112's prompt directive, gives the LLM both prevention (don't emit) and correction (here's what went wrong if you did). Tests: tests/test_tar_writer_validation.py adds 4 (build_query_row error_message present/default; sufficiency error_message always empty; CSV round-trip persistence); tests/test_run_term_eda_render.py adds 6 (render error line presence/omission/truncation/mixed; runner threading; prompt directive verification per KI-112)."
117,Staging-layer compiled-SQL display previously showed 'not yet compiled' for deployed models; fixed via DuckDB-primary check,"Per investigation surfaced during BG029 demo walk: Business_Glossary.py:2422-2429 _read_compiled() inspected dbt/target/compiled/cpe_procurement_analytics/models/<layer>/<model>.sql filesystem cache to determine compilation state. Profile data (rows/cols) was read from live DuckDB. Two state sources didn't reconcile: when the compiled cache was stale (no dbt compile run since last clean) but the table was deployed and queryable, UI rendered 'not yet compiled' adjacent to profile data showing 31,965 rows. Empirically reproduced for stg_sap__mseg + stg_sap__mkpf during BG029 Stage E S2T render — both tables had 31,965 rows in main_staging but no compiled .sql in target/compiled/.../staging/.",closed,low,2026-04-29,2026-04-29,"Reordered check logic. New helper module app/_compiled_state.py provides: load_deployed_keys(conn) snapshotting (table_schema, table_name) pairs from information_schema.tables; is_deployed(model_name, layer, deployed_keys) for O(1) lookup; read_compiled_sql(model_name, compiled_base) (relocated from inline _read_compiled). Render branch in app/pages/Business_Glossary.py now distinguishes three states: (1) deployed in DuckDB (✅) — primary expected state; show compiled SQL inline if cache available, caption noting `dbt compile --select <model>` would refresh the cache otherwise (deployed table is unaffected); (2) compiled but not deployed (⚙️) — pre-deployment workflow; show SQL; (3) neither (❌) — truly unaccounted-for. Eliminates the misleading 'not yet compiled' text for deployed models. Same UX-staleness fix-class as KI-108 (UI reader/writer enum drift); different state domain (filesystem cache vs DuckDB metadata). Tests: tests/test_business_glossary_compiled_render.py (6 new) cover is_deployed pure-lookup, load_deployed_keys real-DuckDB + error fallback, read_compiled_sql found/absent/missing-base."
118,run_schema_discovery_analysis silently skipped parquet sync via wrong kwarg name (seeds_changed),"scripts/run_schema_discovery_analysis.py:814 (pre-fix line) called sync_parquet_and_invalidate(..., seeds_changed=['domain_analysis_results']). seeds_changed is not a valid kwarg; Python raised TypeError. A try/except wrapped the call and printed `[warn] parquet sync skipped: <TypeError>` to stdout, making the failure look benign. Result: every successful schema_discovery run left domain_analysis_results parquet stale relative to DuckDB. Same fix-class as KI-103/KI-105/KI-106/KI-107. Discovered during KI-103 audit follow-up; resolved in same commit as KI-106/KI-107 fix.",resolved,medium,2026-05-04,2026-05-04,"Closed by 2026-05-04 fix at scripts/run_schema_discovery_analysis.py:811. Discovered during KI-103 audit follow-up: the call passed seeds_changed=[...] which is not a valid kwarg for sync_parquet_and_invalidate. The TypeError was caught by a benign-looking try/except that printed `[warn] parquet sync skipped: <TypeError>` to stdout, leaving parquet stale every run. Fix renames the kwarg to seed_name='domain_analysis_results' and unwraps from list. Captures the function's own warning return value. Same fix-class as KI-103/KI-105/KI-106/KI-107."
119,scenario_23_stage_b_blocker_injection regression test exercises dead code path post KI-115,scripts/regression_piece8.py:1752 — scenario_23_stage_b_blocker_injection is an LLM-dependent regression test (~384 lines) that asserts DAR.result_json.blockers_addressed is non-empty when a blocker is fabricated. KI-115 closure removed the prompt directive that asked analyzers to populate this field; the test now exercises a dead code path and would fail if invoked (it's marked 'R/LLM-dependent' so does not run in any automated suite — manual/on-demand only). Cleanup: remove scenario_23 + its registration entry at line 2837. Bounded (~385 LOC delete + 1-line registration); cleanly owned by KI-115.,open,low,2026-05-04,,
120,Wire orphan-relation cleanup into end_of_task.py so deleted models auto-drop,"When a dbt model file is deleted (e.g., KI-101 deleted fact_active_deployed_cpe.sql on 2026-05-04), the materialized table in DuckDB persists as an orphan because dbt does NOT auto-drop relations for deleted model files. The orphan stays until someone explicitly DROPs it. Today's incident (2026-05-05): user spotted main_marts.fact_active_deployed_cpe as a 1-column orphan during the schema-audit conversation; explicit DROP TABLE was needed to clean it up. KI-101's original resolution claimed self-cleanup via `dbt run --full-refresh`, but that's not how dbt works — amended in commit fcc575b. Fix shape: add a step to end_of_task.py (or a separate scripts/cleanup_orphans.py callable from there) that compares the materialized tables in DuckDB against the dbt graph (manifest.json or `dbt list`) and DROPs the diff. Implementation is not trivial: dbt-utils does NOT ship a drop_unused_relations macro (verified 2026-05-05); options are (a) author a custom macro that reads graph.nodes + information_schema, (b) write Python that loads dbt's manifest.json and DROPs the diff. False-positive risk: must exclude raw_sap.* sources, main_seeds.*, manually-managed views, and anything else not built by `dbt run` — naive 'all tables not in graph' would wipe sources. Could gate on layer prefix (main_marts/main_obt/main_knowledge) or on dbt-managed-schema list. Cosmetic-priority: orphans don't break correctness; they just clutter the schema audit and confuse analysts who notice them.",open,low,2026-05-05,,
121,fact_po_invoice_match_variance refactored — vault layers built (RSEG + ZMM),"fact_po_invoice_match_variance refs stg_sap__ekko, stg_sap__ekpo, stg_sap__ekbe, stg_sap__rseg AND directly references raw_sap.zmm_approval_log (Layer 0 -> Layer 3 skip — worse than the staging-bypass since it skips both staging AND vault). Refactor blocked because: (1) no vault sat exists for RSEG (invoice line items) — only sat_invoice_header is in vault; (2) zmm_approval_log Z-table has no staging or vault model at all; (3) sat_gr_item could substitute for stg_sap__ekbe BWART='101' rows but it's a substitute, not a 1:1 vault analog. Fix shape: add staging + vault layers for RSEG (sat_invoice_item) and zmm_approval_log (stg_zmm__approval_log + sat_zmm_approval), then refactor the mart to source from vault. Allowlisted in scripts/check_rule3_layer_violations.py until those vault layers exist; remove the allowlist entry once refactored. Also: this mart was generated by piece_8_5_create_s2t_from_bar (per schema.yml meta), so the Create S2T flow itself is producing RULE 3 violations — separate downstream issue, file independently if it recurs after vault layers are added.",resolved,medium,2026-05-05,2026-05-05,"Built the missing vault layers and refactored the mart to source from vault. New models added: stg_sap__zmm_approval_log (Layer 1 staging for the ZMM_APPROVAL_LOG Z-table, with hash keys for hk_zmm_approval / hk_purchase_order / hk_invoice and hashdiff_zmm_approval); hub_zmm_approval (DV hub on APPROVAL_ID, 500 rows); sat_zmm_approval (DV sat with approval_status / approval_date / EBELN / EBELP / etc., 500 rows); sat_invoice_item (DV sat on hub_invoice carrying RSEG BUZEI line items, 2157 rows). EKBE BWART='101' rows substituted with sat_gr_item.movement_type='101' — verified data-equivalent: 2157 rows in both, 656072 total quantity, identical (EBELN, EBELP) groupings. Refactored fact_po_invoice_match_variance to source from sat_po_header + sat_po_item + link_po_material + link_po_vendor (PO side), sat_gr_item (GR), sat_invoice_item (invoice), sat_zmm_approval (exceptions). Strict parity verified: 184->184 rows, 2200 total_po_lines / 90.48% avg matched_pct / 135 exceptions / 105 approved / 30 open / 8 vendors / 26 months — all identical to baseline. dbt test 3/3 PASS. Allowlist entry removed from scripts/check_rule3_layer_violations.py — checker now exits 0 with no violations across the entire downstream layer. Sources.yml updated to register raw_sap.zmm_approval_log."
122,dim_equipment uniqueness fails - link_equipment_material fan-out (1 device -> multiple materials),"link_equipment_material has 75236 rows for 45000 distinct equipment; 30236 devices (~67%) link to >1 material (e.g. CPE-00000330, an ONT, links to both CPE-ONT-003 and CPE-RTR-001). This fans dim_equipment out to 75236 rows, breaking unique_dim_equipment_equipment_number and unique_dim_equipment_hk_equipment (30236 dups each). Root cause is link_equipment_material grain: equipment receives multiple GR/material-document associations and no authoritative-material selection is applied. PRE-EXISTING and orthogonal to the SD/FI build - entire lineage (dim_equipment.sql @717e777 2026-04-14, link_equipment_material) unchanged by the 2026-06-25 build; surfaced during the 2026-06-26 build-health verification (dbt build PASS=394 ERROR=5). Likely fix: link picks authoritative material per equipment, or dim_equipment dedups to current material.",open,medium,2026-06-26,,
123,"All LLM pipeline stages pinned to retired model claude-sonnet-4-20250514 (API 404) - blocks scope derivation, EDA, S2T","~12 files hardcode MODEL/_MODEL = ""claude-sonnet-4-20250514"", which Anthropic retired - the messages API returns 404 not_found_error as of 2026-06-26, so every LLM stage is dead in the real Streamlit app. Affected: app/claude_api.py:24, scripts/_scope_derivation.py:67, _context_assembler.py:95, classify_source_columns.py:64, compile_semantic_model.py:78, run_catalog_backfill.py:62, run_code_tables_analysis.py:73, run_completeness_analysis.py:53, run_dimensions_analysis.py:72, run_magnitude_analysis.py:63, run_term_eda.py:53, sync_s2t_plain_from_dbt.py:44. run_term_injection.py:79 also pins claude-sonnet-4-5 (verify). Current Sonnet claude-sonnet-4-6 returns 200. Fix: global swap to claude-sonnet-4-6 and ideally centralize the model id in one config module. Surfaced while running Stage A propose for BG030; that run used a local in-process override to claude-sonnet-4-6.",resolved,high,2026-06-26,2026-06-27,"Swapped all 12 MODEL/_MODEL pins claude-sonnet-4-20250514 -> claude-sonnet-4-6 (app/claude_api.py, _scope_derivation.py, _context_assembler.py, classify_source_columns.py, compile_semantic_model.py, run_catalog_backfill.py, run_{code_tables,completeness,dimensions,magnitude}_analysis.py, run_term_eda.py, sync_s2t_plain_from_dbt.py). Left run_term_injection.py pricing-dict historical key intact; its claude-sonnet-4-5 MODEL_SONNET still returns 200 (not retired). claude-sonnet-4-6 verified 200. Follow-up (deferred): centralize model id in one config module instead of 12 literals."
124,Scope-derivation validator rejected valid resolves_in 'source_diagnostic_required' (prompt/validator enum drift),"scope_derivation_prompt.md:100 defines source_diagnostic_required as a valid warning-severity resolves_in (Stage F, analyst may still confirm) and Source Diagnostic is a real Data Catalog feature, but _scope_derivation.py:755 valid_resolves_in omitted it. Any proposal whose blockers routed to source_diagnostic_required got validation_issues and could not be confirmed. Surfaced confirming BG030 Stage A scope.",resolved,medium,2026-06-27,2026-06-27,Added 'source_diagnostic_required' to valid_resolves_in at _scope_derivation.py:755.
125,Stage A scope-history iter_num collides (propose+revise both iter 1) -> confirm can select wrong iteration,"append_iteration_to_history writes only business_glossary.csv, but _propose_or_revise derives iter_num from the DB term row (scope_derivation_history_json), which stays {} until a dbt seed runs. So a revise after a propose (no reseed between) reads empty history and is numbered iter_num=1 again, colliding with the propose. confirm_scope(iter_num=1) then matches the first iter_num=1 (the propose), not the revise. Observed confirming BG030: confirmed the 9-table propose rather than the 7-table revise. CSV-vs-DB read split, same family as #53. Fix options: derive iter_num from CSV history in _propose_or_revise, or reseed/refresh DB history after each append. Confirm should also reject duplicate iter_num.",open,medium,2026-06-27,,
126,run_term_eda.py crashes (KeyError missing_dar_tables) when Term EDA prerequisites not met,run_term_eda.py:569 referenced prereq['missing_dar_tables'] but check_term_eda_prereq (_term_eda_prereq.py) returns missing_analyzers_per_table / missing_grain_pairs - no missing_dar_tables key. Any prereq failure (e.g. scope tables lacking domain EDA) crashed with KeyError instead of returning the clean 'prerequisites not met' report. Surfaced running Stage C-prime for BG030 with only VBRP profiled.,resolved,medium,2026-06-27,2026-06-27,Derive missing_dar_tables from missing_analyzers_per_table.keys(); also surface missing_grain_pairs in the result.
127,Stage A scope-derivation _MAX_TOKENS=6000 truncates rich/wide-scope terms into invalid JSON,_scope_derivation.py _MAX_TOKENS=6000 was sized for ~9-table terms; the 14-table customer-centric BG030 produced a longer JSON proposal that truncated mid-string -> JSONDecodeError. Raised to 16000.,resolved,medium,2026-06-28,2026-06-28,_MAX_TOKENS 6000 -> 16000 in scripts/_scope_derivation.py.
128,Synthetic data: BWART=201 deployment movements lack serial-number linkage (only 101/GR linked),"All SERI (45000) and SER03 (2155) serial records point to BWART=101 goods-receipt movements; the 27000 BWART=201 deployment movements have ZERO serial/equipment linkage. So per-device deployment date cannot be derived from the 201 movement (forced the first-bill proxy for null EQUI.INBDT in BG030, decision #119). Production fix: extend the sample-data generator to emit serial records for 201 goods-issue movements. Reopens with real SAP data where deployment movements are serial-linked.",open,low,2026-06-28,,
129,"Stage D (create_s2t) generates marts that ref() staging directly, violating RULE 3 (vault-only) - blocks commit gate","The generated fact_contribution_margin_by_segment refs 10 stg_sap__* models directly (vbrk,vbrp,vbak,vbap,ekko,ekpo,equi,seri,mkpf,mseg). anti_patterns.md RULE 3 requires mart/obt/knowledge models to ref() vault models only. end_of_task.py check_rule3_layer_violations.py flags this as BLOCKING. Root cause: the create_s2t context bundle surfaces staging/raw scope (dbt_semantic_model_consumed = stg_sap__*) and the generation prompt does not require targeting the vault layer, so the LLM builds the mart on staging. The model is otherwise correct (builds, grain clean, revenue reconciles). Resolution options: (a) refactor the fact onto vault sats/links/hubs (needs FKSTO/NETPR/INBDT exposed in sats - verify), or (b) add a vault-layering directive to the create_s2t prompt and regenerate.",resolved,high,2026-06-28,2026-06-28,"Refactored fact_contribution_margin_by_segment onto vault-only refs (sat_billing_document, link_billing_sales_order, link_sales_order_equipment, sat_sales_order_item, sat_equipment_general w/ SCD2 current-version dedup, link_equipment_gr->link_gr_po->link_po_material->sat_po_item). Revenue penny-exact (EUR9,494,584), grain clean, RULE 3 OK. Prevention: added DIRECTIVE 3f-LAYERING to the create_s2t prompt (claude_api.py) requiring vault-only refs for mart/obt/knowledge models."
